PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/jollify.01__1	jollify.01	ARG1	https://w3id.org/framester/vn/vn31/data/Experiencer.jollify_31010000	Experiencer	Jollify_31010000	https://w3id.org/framester/vn/vn31/data/Jollify_31010000
https://w3id.org/framester/pb/pbdata/jolt.01__0	jolt.01	ARG0	https://w3id.org/framester/vn/vn31/data/Stimulus.jolt_31010000	Stimulus	Jolt_31010000	https://w3id.org/framester/vn/vn31/data/Jolt_31010000
https://w3id.org/framester/pb/pbdata/jolt.01__1	jolt.01	ARG1	https://w3id.org/framester/vn/vn31/data/Experiencer.jolt_31010000	Experiencer	Jolt_31010000	https://w3id.org/framester/vn/vn31/data/Jolt_31010000
https://w3id.org/framester/pb/pbdata/jolt.02__0	jolt.02	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.jolt_59000000	Agent	Jolt_59000000	https://w3id.org/framester/vn/vn31/data/Jolt_59000000
https://w3id.org/framester/pb/pbdata/jolt.02__1	jolt.02	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.jolt_59000000	Patient	Jolt_59000000	https://w3id.org/framester/vn/vn31/data/Jolt_59000000
https://w3id.org/framester/pb/pbdata/jolt.02__2	jolt.02	ARG2	https://w3id.org/framester/vn/vn31/data/Result.jolt_59000000	Result	Jolt_59000000	https://w3id.org/framester/vn/vn31/data/Jolt_59000000
https://w3id.org/framester/pb/pbdata/journey.01__0	journey.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.journey_51030200	Agent	Journey_51030200	https://w3id.org/framester/vn/vn31/data/Journey_51030200
https://w3id.org/framester/pb/pbdata/journey.01__0	journey.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.travel_51030200	Agent	Travel_51030200	https://w3id.org/framester/vn/vn31/data/Travel_51030200
https://w3id.org/framester/pb/pbdata/journey.01__0	journey.01	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.journey_51030200	Theme	Journey_51030200	https://w3id.org/framester/vn/vn31/data/Journey_51030200
https://w3id.org/framester/pb/pbdata/journey.01__0	journey.01	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.travel_51030200	Theme	Travel_51030200	https://w3id.org/framester/vn/vn31/data/Travel_51030200
https://w3id.org/framester/pb/pbdata/journey.01__1	journey.01	ARG1	https://w3id.org/framester/vn/vn31/data/Location.travel_51030200	Location	Travel_51030200	https://w3id.org/framester/vn/vn31/data/Travel_51030200
https://w3id.org/framester/pb/pbdata/journey.01__2	journey.01	ARG2	https://w3id.org/framester/vn/vn31/data/Location.travel_51030200	Location	Travel_51030200	https://w3id.org/framester/vn/vn31/data/Travel_51030200
https://w3id.org/framester/pb/pbdata/judge.01__0	judge.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.judge_29020000	Agent	Judge_29020000	https://w3id.org/framester/vn/vn31/data/Judge_29020000
https://w3id.org/framester/pb/pbdata/judge.01__0	judge.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.judge_34020000	Agent	Judge_34020000	https://w3id.org/framester/vn/vn31/data/Judge_34020000
https://w3id.org/framester/pb/pbdata/judge.01__1	judge.01	ARG1	https://w3id.org/framester/vn/vn31/data/Theme.judge_29020000	Theme	Judge_29020000	https://w3id.org/framester/vn/vn31/data/Judge_29020000
