pbrole	pbrolelabel	pbrolesup	varole
pbdata:supplant-01__2	pblocalrole:new_thing	pbschema:ARG-PPT	va:Co-Theme
pbdata:supple-01__1	pblocalrole:supple_entity	pbschema:ARG1	
pbdata:supple-01__1	pblocalrole:supple_entity	pbschema:ARG-PAG	
pbdata:supplement-01__0	pblocalrole:intentional_agent	pbschema:ARG0	va:Agent
pbdata:supplement-01__0	pblocalrole:intentional_agent	pbschema:ARG-PAG	va:Agent
pbdata:supplement-01__1	pblocalrole:thing_enhanced	pbschema:ARG1	va:Co-Patient
pbdata:supplement-01__1	pblocalrole:thing_enhanced	pbschema:ARG-PPT	va:Co-Patient
pbdata:supplement-01__2	pblocalrole:the_supplement_itself	pbschema:ARG2	va:Patient
pbdata:supplement-01__2	pblocalrole:the_supplement_itself	pbschema:ARG-MNR	va:Patient
pbdata:supplicate-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:supplicate-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:supplicate-01__1	pblocalrole:appealed_to	pbschema:ARG1	
pbdata:supplicate-01__1	pblocalrole:appealed_to	pbschema:ARG-GOL	
pbdata:supplicate-01__2	pblocalrole:begged	pbschema:ARG2	
pbdata:supplicate-01__2	pblocalrole:begged	pbschema:ARG-PPT	
pbdata:supply-01__0	pblocalrole:provider	pbschema:ARG0	va:Agent
pbdata:supply-01__0	pblocalrole:provider	pbschema:ARG-PAG	va:Agent
pbdata:supply-01__1	pblocalrole:thing_provided	pbschema:ARG1	va:Theme
pbdata:supply-01__1	pblocalrole:thing_provided	pbschema:ARG-PPT	va:Theme
pbdata:supply-01__2	pblocalrole:entity_provided_for	pbschema:ARG2	va:Recipient
pbdata:supply-01__2	pblocalrole:entity_provided_for	pbschema:ARG-GOL	va:Recipient
pbdata:support-01__0	pblocalrole:helper	pbschema:ARG0	va:Agent
pbdata:support-01__0	pblocalrole:helper	pbschema:ARG-PAG	va:Agent
pbdata:support-01__1	pblocalrole:person	pbschema:ARG1	va:Beneficiary
pbdata:support-01__1	pblocalrole:person	pbschema:ARG-PPT	va:Beneficiary
