pbrole	pbrolelabel	pbrolesup	varole
pbdata:1500-01__1	pblocalrole:thing_that_is_1500	pbschema:ARG1	
pbdata:1500-01__1	pblocalrole:thing_that_is_1500	pbschema:ARG-PPT	
pbdata:300-01__1	pblocalrole:thing_that_is_300	pbschema:ARG1	
pbdata:300-01__1	pblocalrole:thing_that_is_300	pbschema:ARG-PPT	
pbdata:aa-01__0	pblocalrole:awake	pbschema:ARG0	
pbdata:aa-01__0	pblocalrole:awake	pbschema:ARG-PAG	
pbdata:aao-01__0	pblocalrole:awake	pbschema:ARG0	
pbdata:aao-01__0	pblocalrole:awake	pbschema:ARG-PAG	
pbdata:aao-01__1	pblocalrole:oriented_to	pbschema:ARG1	
pbdata:aao-01__1	pblocalrole:oriented_to	pbschema:ARG-PPT	
pbdata:abandon-01__0	pblocalrole:abandoner	pbschema:ARG0	va:Agent
pbdata:abandon-01__0	pblocalrole:abandoner	pbschema:ARG-PPT	va:Agent
pbdata:abandon-01__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Theme
pbdata:abandon-01__1	pblocalrole:thing_abandoned	pbschema:ARG-DIR	va:Theme
pbdata:abandon-01__2	pblocalrole:attribute_of_arg1	pbschema:ARG2	va:Attribute
pbdata:abandon-01__2	pblocalrole:attribute_of_arg1	pbschema:ARG-PRD	va:Attribute
pbdata:abandon-02__0	pblocalrole:abandoner	pbschema:ARG0	va:Agent
pbdata:abandon-02__0	pblocalrole:abandoner	pbschema:ARG-PAG	va:Agent
pbdata:abandon-02__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Patient
pbdata:abandon-02__1	pblocalrole:thing_abandoned	pbschema:ARG-PPT	va:Patient
pbdata:abandon-02__2	pblocalrole:preferred_item	pbschema:ARG2	va:Result
pbdata:abandon-02__2	pblocalrole:preferred_item	pbschema:ARG-GOL	va:Result
pbdata:abandon-03__0	pblocalrole:entity_abandoning_something	pbschema:ARG0	va:Agent
pbdata:abandon-03__0	pblocalrole:entity_abandoning_something	pbschema:ARG-PAG	va:Agent
pbdata:abandon-03__1	pblocalrole:thing_abandoned	pbschema:ARG1	va:Patient
pbdata:abandon-03__1	pblocalrole:thing_abandoned	pbschema:ARG-PPT	va:Patient
pbdata:abandon-03__2	pblocalrole:benefactive	pbschema:ARG2	va:Recipient
pbdata:abandon-03__2	pblocalrole:benefactive	pbschema:ARG-GOL	va:Recipient
pbdata:abase-01__0	pblocalrole:causer_of_humbling	pbschema:ARG0	va:Stimulus
pbdata:abase-01__0	pblocalrole:causer_of_humbling	pbschema:ARG-PAG	va:Stimulus
pbdata:abase-01__1	pblocalrole:entity_lowered	pbschema:ARG1	va:Experiencer
pbdata:abase-01__1	pblocalrole:entity_lowered	pbschema:ARG-PPT	va:Experiencer
pbdata:abase-01__2	pblocalrole:instrument	pbschema:ARG2	va:Instrument
pbdata:abase-01__2	pblocalrole:instrument	pbschema:ARG-MNR	va:Instrument
pbdata:abash-01__0	pblocalrole:causer_of_shame	pbschema:ARG0	
pbdata:abash-01__0	pblocalrole:causer_of_shame	pbschema:ARG-PAG	
pbdata:abash-01__1	pblocalrole:abashed_entity	pbschema:ARG1	
pbdata:abash-01__1	pblocalrole:abashed_entity	pbschema:ARG-PPT	
pbdata:abash-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:abash-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:abate-01__0	pblocalrole:causer	pbschema:ARG0	va:Agent
pbdata:abate-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Agent
pbdata:abate-01__1	pblocalrole:entity_decreased	pbschema:ARG1	va:Patient
pbdata:abate-01__1	pblocalrole:entity_decreased	pbschema:ARG-PPT	va:Patient
pbdata:abbreviate-01__0	pblocalrole:causal_agent	pbschema:ARG0	
pbdata:abbreviate-01__0	pblocalrole:causal_agent	pbschema:ARG-PAG	
pbdata:abbreviate-01__1	pblocalrole:thing_becoming_shorter	pbschema:ARG1	
pbdata:abbreviate-01__1	pblocalrole:thing_becoming_shorter	pbschema:ARG-PPT	
pbdata:abbreviate-01__2	pblocalrole:ext	pbschema:ARG2	
pbdata:abbreviate-01__2	pblocalrole:ext	pbschema:ARG-EXT	
pbdata:abbreviate-01__3	pblocalrole:start_state_of_arg_1	pbschema:ARG3	
pbdata:abbreviate-01__3	pblocalrole:start_state_of_arg_1	pbschema:ARG-DIR	
pbdata:abbreviate-01__4	pblocalrole:end_state_of_arg1	pbschema:ARG4	
pbdata:abbreviate-01__4	pblocalrole:end_state_of_arg1	pbschema:ARG-PRD	
pbdata:abdicate-01__0	pblocalrole:abdicator	pbschema:ARG0	va:Agent
pbdata:abdicate-01__0	pblocalrole:abdicator	pbschema:ARG-PAG	va:Agent
pbdata:abdicate-01__1	pblocalrole:responsibility	pbschema:ARG1	va:Patient
pbdata:abdicate-01__1	pblocalrole:responsibility	pbschema:ARG-DIR	va:Patient
pbdata:abdominal-01__1	pblocalrole:abdominal_entity	pbschema:ARG1	
pbdata:abdominal-01__1	pblocalrole:abdominal_entity	pbschema:ARG-PPT	
pbdata:abduct-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:abduct-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:abduct-01__1	pblocalrole:person_kidnapped	pbschema:ARG1	va:Patient
pbdata:abduct-01__1	pblocalrole:person_kidnapped	pbschema:ARG-PPT	va:Patient
pbdata:abduct-02__0	pblocalrole:mover	pbschema:ARG0	
pbdata:abduct-02__0	pblocalrole:mover	pbschema:ARG-PAG	
pbdata:abduct-02__1	pblocalrole:thing_moved	pbschema:ARG1	
pbdata:abduct-02__1	pblocalrole:thing_moved	pbschema:ARG-PPT	
pbdata:aberrate-01__1	pblocalrole:thing_diverging	pbschema:ARG1	
pbdata:aberrate-01__1	pblocalrole:thing_diverging	pbschema:ARG-PPT	
pbdata:aberrate-01__2	pblocalrole:the_norm	pbschema:ARG2	
pbdata:aberrate-01__2	pblocalrole:the_norm	pbschema:ARG-DIR	
pbdata:abet-01__0	pblocalrole:agent_of_abetting	pbschema:ARG0	va:Agent
pbdata:abet-01__0	pblocalrole:agent_of_abetting	pbschema:ARG-PAG	va:Agent
pbdata:abet-01__1	pblocalrole:thing_helped	pbschema:ARG1	va:Patient
pbdata:abet-01__1	pblocalrole:thing_helped	pbschema:ARG-GOL	va:Patient
pbdata:abhor-01__0	pblocalrole:despiser	pbschema:ARG0	va:Experiencer
pbdata:abhor-01__0	pblocalrole:despiser	pbschema:ARG-PPT	va:Experiencer
pbdata:abhor-01__1	pblocalrole:object_of_despisal	pbschema:ARG1	va:Stimulus
pbdata:abhor-01__1	pblocalrole:object_of_despisal	pbschema:ARG-PAG	va:Stimulus
pbdata:abide-01__0	pblocalrole:conformer	pbschema:ARG0	va:Agent
pbdata:abide-01__0	pblocalrole:conformer	pbschema:ARG-PPT	va:Agent
pbdata:abide-01__1	pblocalrole:thing_conformed_to	pbschema:ARG1	va:Theme
pbdata:abide-01__1	pblocalrole:thing_conformed_to	pbschema:ARG-GOL	va:Theme
pbdata:ablate-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:ablate-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:ablate-01__1	pblocalrole:material	pbschema:ARG1	
pbdata:ablate-01__1	pblocalrole:material	pbschema:ARG-PPT	
pbdata:ablate-01__1	pblocalrole:part_of_body_ablated	pbschema:ARG1	
pbdata:ablate-01__1	pblocalrole:part_of_body_ablated	pbschema:ARG-PPT	
pbdata:ablate-01__2	pblocalrole:object	pbschema:ARG2	
pbdata:ablate-01__2	pblocalrole:object	pbschema:ARG-DIR	
pbdata:ablate-01__2	pblocalrole:patient_undergoing_ablation	pbschema:ARG2	
pbdata:ablate-01__2	pblocalrole:patient_undergoing_ablation	pbschema:ARG-DIR	
pbdata:ablate-01__3	pblocalrole:instrument	pbschema:ARG3	
pbdata:ablate-02__0	pblocalrole:cause_of_erosion	pbschema:ARG0	
pbdata:ablate-02__0	pblocalrole:cause_of_erosion	pbschema:ARG-PAG	
pbdata:ablate-02__1	pblocalrole:entity_removed	pbschema:ARG1	
pbdata:ablate-02__1	pblocalrole:entity_removed	pbschema:ARG-PPT	
pbdata:ablate-02__2	pblocalrole:eroded_from	pbschema:ARG2	
pbdata:ablate-02__2	pblocalrole:eroded_from	pbschema:ARG-DIR	
pbdata:able-01__1	pblocalrole:entity_with_ability	pbschema:ARG1	va:Attribute
pbdata:able-01__1	pblocalrole:entity_with_ability	pbschema:ARG-PPT	va:Attribute
pbdata:able-01__2	pblocalrole:ability_itself	pbschema:ARG2	
pbdata:able-01__2	pblocalrole:ability_itself	pbschema:ARG-PRD	
pbdata:abnegate-01__0	pblocalrole:person_giving_something_up	pbschema:ARG0	
pbdata:abnegate-01__0	pblocalrole:person_giving_something_up	pbschema:ARG-PAG	
pbdata:abnegate-01__1	pblocalrole:entity_given_up	pbschema:ARG1	
pbdata:abnegate-01__1	pblocalrole:entity_given_up	pbschema:ARG-PPT	
pbdata:abnegate-01__2	pblocalrole:benefactive	pbschema:ARG2	
pbdata:abnegate-01__2	pblocalrole:benefactive	pbschema:ARG-GOL	
pbdata:abnormal-01__1	pblocalrole:atypical_thing	pbschema:ARG1	
pbdata:abnormal-01__1	pblocalrole:atypical_thing	pbschema:ARG-PAG	
pbdata:abolish-01__0	pblocalrole:entity_getting_rid_of	pbschema:ARG0	va:Agent
pbdata:abolish-01__0	pblocalrole:entity_getting_rid_of	pbschema:ARG-PAG	va:Agent
pbdata:abolish-01__0	pblocalrole:entity_getting_rid_of	pbschema:ARG0	va:Agent
pbdata:abolish-01__0	pblocalrole:entity_getting_rid_of	pbschema:ARG-PAG	va:Agent
pbdata:abolish-01__1	pblocalrole:thing_abolished	pbschema:ARG1	va:Patient
pbdata:abolish-01__1	pblocalrole:thing_abolished	pbschema:ARG-PPT	va:Patient
pbdata:abominable-02__0	pblocalrole:entity_deeming_arg1_abominable	pbschema:ARG0	
pbdata:abominable-02__0	pblocalrole:entity_deeming_arg1_abominable	pbschema:ARG-PAG	
pbdata:abominable-02__0	pblocalrole:entity_deeming_arg1_abominable	pbschema:ARG0	
pbdata:abominable-02__0	pblocalrole:entity_deeming_arg1_abominable	pbschema:ARG-PAG	
pbdata:abominable-02__1	pblocalrole:snowman	pbschema:ARG1	
pbdata:abominable-02__1	pblocalrole:snowman	pbschema:ARG-PPT	
pbdata:abominate-01__0	pblocalrole:despiser	pbschema:ARG0	va:Experiencer
pbdata:abominate-01__0	pblocalrole:despiser	pbschema:ARG-PPT	va:Experiencer
pbdata:abominate-01__1	pblocalrole:thing_despised	pbschema:ARG1	va:Stimulus
pbdata:abominate-01__1	pblocalrole:thing_despised	pbschema:ARG-PAG	va:Stimulus
pbdata:abort-01__0	pblocalrole:causer	pbschema:ARG0	va:Agent
pbdata:abort-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Agent
pbdata:abort-01__1	pblocalrole:entity_aborted	pbschema:ARG1	va:Theme
pbdata:abort-01__1	pblocalrole:entity_aborted	pbschema:ARG-PPT	va:Theme
pbdata:abound-01__1	pblocalrole:thing_which_is_plentiful	pbschema:ARG1	va:Theme
pbdata:abound-01__1	pblocalrole:thing_which_is_plentiful	pbschema:ARG-LOC	va:Theme
pbdata:abound-01__2	pblocalrole:thing_which_has_arg1_in_great_supply	pbschema:ARG2	va:Attribute
pbdata:abound-01__2	pblocalrole:thing_which_has_arg1_in_great_supply	pbschema:ARG-PPT	va:Attribute
pbdata:about-01__1	pblocalrole:entity_who_is_around	pbschema:ARG1	
pbdata:about-01__1	pblocalrole:entity_who_is_around	pbschema:ARG-PAG	
pbdata:aboutface-03__0	pblocalrole:person_changing_mind	pbschema:ARG0	
pbdata:aboutface-03__0	pblocalrole:person_changing_mind	pbschema:ARG-PAG	
pbdata:aboutface-03__1	pblocalrole:regarding_what_issue	pbschema:ARG1	
pbdata:aboutface-03__1	pblocalrole:regarding_what_issue	pbschema:ARG-VSP	
pbdata:abrade-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:abrade-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:abrade-01__1	pblocalrole:thing_wearing	pbschema:ARG1	
pbdata:abrade-01__1	pblocalrole:thing_wearing	pbschema:ARG-PPT	
pbdata:abrade-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:abrade-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:abridge-01__0	pblocalrole:causer	pbschema:ARG0	va:Agent
pbdata:abridge-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Agent
pbdata:abridge-01__1	pblocalrole:thing_abridged	pbschema:ARG1	va:Patient
pbdata:abridge-01__1	pblocalrole:thing_abridged	pbschema:ARG-PPT	va:Patient
pbdata:abrogate-01__0	pblocalrole:intentional_agent_of_abrogation	pbschema:ARG0	
pbdata:abrogate-01__0	pblocalrole:intentional_agent_of_abrogation	pbschema:ARG-PAG	
pbdata:abrogate-01__0	pblocalrole:intentional_agent_of_abrogation	pbschema:ARG0	
pbdata:abrogate-01__0	pblocalrole:intentional_agent_of_abrogation	pbschema:ARG-PAG	
pbdata:abrogate-01__1	pblocalrole:thing_abrogated	pbschema:ARG1	
pbdata:abrogate-01__1	pblocalrole:thing_abrogated	pbschema:ARG-PPT	
pbdata:abrogate-01__2	pblocalrole:instrument	pbschema:ARG2	
pbdata:abrogate-01__2	pblocalrole:instrument	pbschema:ARG-MNR	
pbdata:absent-01__0	pblocalrole:causer	pbschema:ARG0	va:Cause
pbdata:absent-01__0	pblocalrole:causer	pbschema:ARG-PAG	va:Cause
pbdata:absent-01__1	pblocalrole:absent_entity	pbschema:ARG1	va:Theme
pbdata:absent-01__1	pblocalrole:absent_entity	pbschema:ARG-PPT	va:Theme
pbdata:absent-01__2	pblocalrole:absent_from_what	pbschema:ARG2	va:Source
pbdata:absent-01__2	pblocalrole:absent_from_what	pbschema:ARG-GOL	va:Source
pbdata:absolute-01__1	pblocalrole:absolute_thing	pbschema:ARG1	
pbdata:absolute-01__1	pblocalrole:absolute_thing	pbschema:ARG-PPT	
pbdata:absolve-01__0	pblocalrole:absolver	pbschema:ARG0	va:Agent
pbdata:absolve-01__0	pblocalrole:absolver	pbschema:ARG-CAU	va:Agent
pbdata:absolve-01__1	pblocalrole:guilty_party	pbschema:ARG1	va:Theme
pbdata:absolve-01__1	pblocalrole:guilty_party	pbschema:ARG-DIR	va:Theme
pbdata:absolve-01__2	pblocalrole:guilt	pbschema:ARG2	va:Attribute
pbdata:absolve-01__2	pblocalrole:guilt	pbschema:ARG-PPT	va:Attribute
pbdata:absorb-01__0	pblocalrole:absorber	pbschema:ARG0	va:Agent
pbdata:absorb-01__0	pblocalrole:absorber	pbschema:ARG-PAG	va:Agent
pbdata:absorb-01__1	pblocalrole:absorbed	pbschema:ARG1	va:Theme
pbdata:absorb-01__1	pblocalrole:absorbed	pbschema:ARG-PPT	va:Theme
pbdata:absorb-01__2	pblocalrole:sponge	pbschema:ARG2	va:Instrument
pbdata:absorb-01__2	pblocalrole:sponge	pbschema:ARG-GOL	va:Instrument
pbdata:absorb-01__3	pblocalrole:source_of_liquid	pbschema:ARG3	va:Source
pbdata:absorb-01__3	pblocalrole:source_of_liquid	pbschema:ARG-DIR	va:Source
pbdata:abstain-01__0	pblocalrole:entity_abstaining	pbschema:ARG0	va:Agent
pbdata:abstain-01__0	pblocalrole:entity_abstaining	pbschema:ARG-PAG	va:Agent
pbdata:abstain-01__1	pblocalrole:abstaining_from	pbschema:ARG1	va:Theme
pbdata:abstain-01__1	pblocalrole:abstaining_from	pbschema:ARG-PPT	va:Theme
pbdata:abstract-01__0	pblocalrole:entity_abstracting	pbschema:ARG0	
pbdata:abstract-01__0	pblocalrole:entity_abstracting	pbschema:ARG-PAG	
pbdata:abstract-01__1	pblocalrole:thing_being_abstracted	pbschema:ARG1	
pbdata:abstract-01__1	pblocalrole:thing_being_abstracted	pbschema:ARG-PPT	
pbdata:abstract-01__2	pblocalrole:abstracted_from	pbschema:ARG2	
pbdata:abstract-01__2	pblocalrole:abstracted_from	pbschema:ARG-DIR	
pbdata:absurd-01__1	pblocalrole:thing_that_is_absurd	pbschema:ARG1	
pbdata:absurd-01__1	pblocalrole:thing_that_is_absurd	pbschema:ARG-PAG	
pbdata:abundant-01__1	pblocalrole:plentiful_commodity	pbschema:ARG1	
pbdata:abundant-01__1	pblocalrole:plentiful_commodity	pbschema:ARG-PPT	
pbdata:abundant-01__2	pblocalrole:location_with_plenty_of_arg1	pbschema:ARG2	
pbdata:abundant-01__2	pblocalrole:location_with_plenty_of_arg1	pbschema:ARG-LOC	
pbdata:abuse-01__0	pblocalrole:abuser	pbschema:ARG0	va:Agent
pbdata:abuse-01__0	pblocalrole:abuser	pbschema:ARG-PAG	va:Agent
pbdata:abuse-01__1	pblocalrole:entity_abused	pbschema:ARG1	va:Recipient
pbdata:abuse-01__1	pblocalrole:entity_abused	pbschema:ARG-PPT	va:Recipient
pbdata:abuse-02__0	pblocalrole:user	pbschema:ARG0	
pbdata:abuse-02__0	pblocalrole:user	pbschema:ARG-PAG	
pbdata:abuse-02__1	pblocalrole:thing_misused	pbschema:ARG1	
pbdata:abuse-02__1	pblocalrole:thing_misused	pbschema:ARG-PPT	
pbdata:abuse-03__0	pblocalrole:abuser	pbschema:ARG0	
pbdata:abuse-03__0	pblocalrole:abuser	pbschema:ARG-PAG	
pbdata:abuse-03__0	pblocalrole:user_of_offensive_language	pbschema:ARG0	
pbdata:abuse-03__0	pblocalrole:user_of_offensive_language	pbschema:ARG-PAG	
pbdata:abuse-03__1	pblocalrole:entity_insulted	pbschema:ARG1	
pbdata:abuse-03__1	pblocalrole:entity_insulted	pbschema:ARG-PPT	
pbdata:abuse-03__1	pblocalrole:target_of_abuse	pbschema:ARG1	
pbdata:abuse-03__1	pblocalrole:target_of_abuse	pbschema:ARG-PPT	
pbdata:abuse-03__2	pblocalrole:explicit_mention_of_utterance_or_insult	pbschema:ARG2	
pbdata:abuse-03__2	pblocalrole:explicit_mention_of_utterance_or_insult	pbschema:ARG-MNR	
pbdata:abuse-03__2	pblocalrole:the_offensive_language	pbschema:ARG2	
pbdata:abuse-03__2	pblocalrole:the_offensive_language	pbschema:ARG-MNR	
pbdata:abut-01__1	pblocalrole:abutter	pbschema:ARG1	va:Theme
pbdata:abut-01__1	pblocalrole:abutter	pbschema:ARG-PPT	va:Theme
pbdata:abut-01__2	pblocalrole:abutted	pbschema:ARG2	va:Co-Theme
pbdata:abut-01__2	pblocalrole:abutted	pbschema:ARG-PPT	va:Co-Theme
pbdata:abysmal-01__1	pblocalrole:generally_terrible_entity	pbschema:ARG1	
pbdata:abysmal-01__1	pblocalrole:generally_terrible_entity	pbschema:ARG-PAG	
pbdata:abysmal-01__2	pblocalrole:value	pbschema:ARG2	
pbdata:abysmal-01__2	pblocalrole:value	pbschema:ARG-PPT	
pbdata:abysmal-02__1	pblocalrole:unskilled_entity	pbschema:ARG1	
pbdata:abysmal-02__1	pblocalrole:unskilled_entity	pbschema:ARG-PAG	
pbdata:abysmal-02__2	pblocalrole:non-skill	pbschema:ARG2	
pbdata:abysmal-02__2	pblocalrole:non-skill	pbschema:ARG-PPT	
pbdata:accede-01__0	pblocalrole:acceder	pbschema:ARG0	va:Agent
pbdata:accede-01__0	pblocalrole:acceder	pbschema:ARG-PAG	va:Agent
pbdata:accede-01__1	pblocalrole:entity_acceded_to	pbschema:ARG1	va:Theme
pbdata:accede-01__1	pblocalrole:entity_acceded_to	pbschema:ARG-COM	va:Theme
pbdata:accelerate-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:accelerate-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:accelerate-01__1	pblocalrole:thing_accelerating	pbschema:ARG1	va:Theme
pbdata:accelerate-01__1	pblocalrole:thing_accelerating	pbschema:ARG-PPT	va:Theme
pbdata:accelerate-01__2	pblocalrole:ext	pbschema:ARG2	va:Extent
pbdata:accelerate-01__2	pblocalrole:ext	pbschema:ARG-EXT	va:Extent
pbdata:accelerate-01__3	pblocalrole:start_point	pbschema:ARG3	va:Source
pbdata:accelerate-01__3	pblocalrole:start_point	pbschema:ARG-DIR	va:Source
pbdata:accelerate-01__4	pblocalrole:end_point	pbschema:ARG4	va:Destination
pbdata:accelerate-01__4	pblocalrole:end_point	pbschema:ARG-GOL	va:Destination
pbdata:accent-01__0	pblocalrole:decorator	pbschema:ARG0	va:Agent
pbdata:accent-01__0	pblocalrole:decorator	pbschema:ARG-PAG	va:Agent
pbdata:accent-01__1	pblocalrole:thing_decorated	pbschema:ARG1	va:Theme
pbdata:accent-01__1	pblocalrole:thing_decorated	pbschema:ARG-GOL	va:Theme
pbdata:accent-01__2	pblocalrole:decorations	pbschema:ARG2	va:Attribute
pbdata:accent-01__2	pblocalrole:decorations	pbschema:ARG-PPT	va:Attribute
pbdata:accentuate-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:accentuate-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:accentuate-01__1	pblocalrole:thing_accentuated	pbschema:ARG1	va:Theme
pbdata:accentuate-01__1	pblocalrole:thing_accentuated	pbschema:ARG-PPT	va:Theme
pbdata:accentuate-01__2	pblocalrole:instrument	pbschema:ARG2	va:Instrument
pbdata:accentuate-01__2	pblocalrole:instrument	pbschema:ARG-MNR	va:Instrument
pbdata:accept-01__0	pblocalrole:acceptor	pbschema:ARG0	va:Agent
pbdata:accept-01__0	pblocalrole:acceptor	pbschema:ARG-PAG	va:Agent
pbdata:accept-01__1	pblocalrole:thing_accepted	pbschema:ARG1	va:Theme
pbdata:accept-01__1	pblocalrole:thing_accepted	pbschema:ARG-PPT	va:Theme
pbdata:accept-01__2	pblocalrole:accepted-from	pbschema:ARG2	va:Source
pbdata:accept-01__2	pblocalrole:accepted-from	pbschema:ARG-DIR	va:Source
pbdata:accept-01__3	pblocalrole:attribute	pbschema:ARG3	va:Attribute
pbdata:accept-01__3	pblocalrole:attribute	pbschema:ARG-PRD	va:Attribute
pbdata:acceptable-02__0	pblocalrole:acceptor	pbschema:ARG0	
pbdata:acceptable-02__0	pblocalrole:acceptor	pbschema:ARG-PAG	
pbdata:acceptable-02__1	pblocalrole:thing_accepted	pbschema:ARG1	
pbdata:acceptable-02__1	pblocalrole:thing_accepted	pbschema:ARG-PPT	
pbdata:acceptable-02__2	pblocalrole:accepted_from	pbschema:ARG2	
pbdata:acceptable-02__2	pblocalrole:accepted_from	pbschema:ARG-DIR	
pbdata:acceptable-02__3	pblocalrole:attribute	pbschema:ARG3	
pbdata:acceptable-02__3	pblocalrole:attribute	pbschema:ARG-PRD	
pbdata:access-01__0	pblocalrole:accessor	pbschema:ARG0	va:Agent
pbdata:access-01__0	pblocalrole:accessor	pbschema:ARG-PAG	va:Agent
pbdata:access-01__1	pblocalrole:thing_accessed	pbschema:ARG1	va:Destination
pbdata:access-01__1	pblocalrole:thing_accessed	pbschema:ARG-PPT	va:Destination
pbdata:accessible-02__0	pblocalrole:accessor	pbschema:ARG0	
pbdata:accessible-02__0	pblocalrole:accessor	pbschema:ARG-PAG	
pbdata:accessible-02__1	pblocalrole:thing_accessed	pbschema:ARG1	
pbdata:accessible-02__1	pblocalrole:thing_accessed	pbschema:ARG-PPT	
pbdata:accession-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:accession-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:accession-01__1	pblocalrole:supplement	pbschema:ARG1	
pbdata:accession-01__1	pblocalrole:supplement	pbschema:ARG-PPT	
pbdata:accession-01__2	pblocalrole:original	pbschema:ARG2	
pbdata:accession-01__2	pblocalrole:original	pbschema:ARG-PPT	
pbdata:accessorize-01__0	pblocalrole:agent	pbschema:ARG0	va:Agent
pbdata:accessorize-01__0	pblocalrole:agent	pbschema:ARG-PAG	va:Agent
pbdata:accessorize-01__1	pblocalrole:entity_furnished	pbschema:ARG1	va:Recipient
pbdata:accessorize-01__1	pblocalrole:entity_furnished	pbschema:ARG-PPT	va:Recipient
pbdata:accessorize-01__2	pblocalrole:furnished_with_what	pbschema:ARG2	va:Theme
pbdata:accessorize-01__2	pblocalrole:furnished_with_what	pbschema:ARG-VSP	va:Theme
pbdata:accident-01__0	pblocalrole:causer_of_accident	pbschema:ARG0	
pbdata:accident-01__0	pblocalrole:causer_of_accident	pbschema:ARG-PAG	
pbdata:accident-01__1	pblocalrole:type_of_accident	pbschema:ARG1	
pbdata:accident-01__1	pblocalrole:type_of_accident	pbschema:ARG-VSP	
pbdata:acclaim-01__0	pblocalrole:acclaimer	pbschema:ARG0	va:Agent
pbdata:acclaim-01__0	pblocalrole:acclaimer	pbschema:ARG-PAG	va:Agent
pbdata:acclaim-01__1	pblocalrole:acclaimed	pbschema:ARG1	va:Theme
pbdata:acclaim-01__1	pblocalrole:acclaimed	pbschema:ARG-PPT	va:Theme
pbdata:acclaim-01__2	pblocalrole:cause	pbschema:ARG2	va:Attribute
pbdata:acclaim-01__2	pblocalrole:cause	pbschema:ARG-CAU	va:Attribute
pbdata:acclimate-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:acclimate-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:acclimate-01__1	pblocalrole:entity_becoming_accustomed	pbschema:ARG1	
pbdata:acclimate-01__1	pblocalrole:entity_becoming_accustomed	pbschema:ARG-PPT	
pbdata:acclimate-01__2	pblocalrole:to_what	pbschema:ARG2	
pbdata:acclimate-01__2	pblocalrole:to_what	pbschema:ARG-GOL	
pbdata:acclimatize-01__0	pblocalrole:agent	pbschema:ARG0	
pbdata:acclimatize-01__0	pblocalrole:agent	pbschema:ARG-PAG	
pbdata:acclimatize-01__1	pblocalrole:entity_becoming_accustomed	pbschema:ARG1	
pbdata:acclimatize-01__1	pblocalrole:entity_becoming_accustomed	pbschema:ARG-PPT	
pbdata:acclimatize-01__2	pblocalrole:to_what	pbschema:ARG2	
pbdata:acclimatize-01__2	pblocalrole:to_what	pbschema:ARG-GOL	
pbdata:accommodate-01__0	pblocalrole:accommodater	pbschema:ARG0	va:Agent
pbdata:accommodate-01__0	pblocalrole:accommodater	pbschema:ARG-PAG	va:Agent
pbdata:accommodate-01__1	pblocalrole:thing_accommodated	pbschema:ARG1	va:Recipient
pbdata:accommodate-01__1	pblocalrole:thing_accommodated	pbschema:ARG-PPT	va:Recipient
pbdata:accompany-01__0	pblocalrole:subject_accompanier	pbschema:ARG0	va:Agent
pbdata:accompany-01__0	pblocalrole:subject_accompanier	pbschema:ARG-PAG	va:Agent
pbdata:accompany-01__1	pblocalrole:object_accompanied	pbschema:ARG1	va:Theme
pbdata:accompany-01__1	pblocalrole:object_accompanied	pbschema:ARG-PPT	va:Theme
pbdata:accompany-01__3	pblocalrole:start_point	pbschema:ARG3	va:Source
pbdata:accompany-01__3	pblocalrole:start_point	pbschema:ARG-DIR	va:Source
pbdata:accompany-01__4	pblocalrole:end_point	pbschema:ARG4	va:Destination
pbdata:accompany-01__4	pblocalrole:end_point	pbschema:ARG-GOL	va:Destination
pbdata:accomplish-01__0	pblocalrole:doer	pbschema:ARG0	va:Agent
pbdata:accomplish-01__0	pblocalrole:doer	pbschema:ARG-PAG	va:Agent
pbdata:accomplish-01__1	pblocalrole:deed	pbschema:ARG1	va:Goal
pbdata:accomplish-01__1	pblocalrole:deed	pbschema:ARG-PPT	va:Goal
pbdata:accord-01__0	pblocalrole:giver	pbschema:ARG0	va:Agent
pbdata:accord-01__0	pblocalrole:giver	pbschema:ARG-PAG	va:Agent
pbdata:accord-01__1	pblocalrole:gift	pbschema:ARG1	va:Theme
