pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:farm-out-02	to subcontract	pblr:farm-out-02.work		
pbrs:farm-out-02	to subcontract	pblr:farm-out-02.contractor		
pbrs:farnesylate-01	 attach a farnesyl group to a protein	pblr:farnesylate-01.thing-farnesylated		
pbrs:farnesylate-01	 attach a farnesyl group to a protein	pblr:farnesylate-01.result-of-farnesylation		
pbrs:farnesylate-01	 attach a farnesyl group to a protein	pblr:farnesylate-01.intentional-agent-of-farnesylation		
pbrs:farnesylate-01	 attach a farnesyl group to a protein	pblr:farnesylate-01.instrument		
pbrs:fart-01	expel gas	pblr:fart-01.expeller		va:0160f
pbrs:fart-01	expel gas	pblr:fart-01.gas		va:0160f
pbrs:fart-around-02	procrastinate; play around	pblr:fart-around-02.entity-playing-around		
pbrs:fart-around-02	procrastinate; play around	pblr:fart-around-02.playing-with		
pbrs:fascinate-01	fascinate	pblr:fascinate-01.fascinated-entity		va:0344f
pbrs:fascinate-01	fascinate	pblr:fascinate-01.stimulus-of-fascination		va:0344f
pbrs:fascinate-01	fascinate	pblr:fascinate-01.instrument		va:0344f
pbrs:fashion-01	to make out of components	pblr:fashion-01.maker		va:0483f
pbrs:fashion-01	to make out of components	pblr:fashion-01.entity-fashioned		va:0483f
pbrs:fashionable-02	stylish	pblr:fashionable-02.entity-in-fashion		
pbrs:fast-01	to abstain from or eat very little food	pblr:fast-01.agent		va:0261f
pbrs:fast-02	speedy	pblr:fast-02.fast-entity		
pbrs:fast-02	speedy	pblr:fast-02.speed		
pbrs:fasten-01	connect	pblr:fasten-01.causer-of-connection		va:0206f
pbrs:fasten-01	connect	pblr:fasten-01.fastener		va:0206f
pbrs:fasten-01	connect	pblr:fasten-01.first-thing-fastened		va:0206f
pbrs:fasten-01	connect	pblr:fasten-01.additional-thing		va:0206f
pbrs:fastforward-01	move forward quickly, like on a media player	pblr:fastforward-01.end-point		
pbrs:fastforward-01	move forward quickly, like on a media player	pblr:fastforward-01.medium-moved-forward		
pbrs:fastforward-01	move forward quickly, like on a media player	pblr:fastforward-01.start-point		
pbrs:fastforward-01	move forward quickly, like on a media player	pblr:fastforward-01.fast-forwarder		
pbrs:fastforward-01	move forward quickly, like on a media player	pblr:fastforward-01.amount-moved-forward		
pbrs:fasttrack-01	to put on a fast track	pblr:fasttrack-01.fasttracker		
pbrs:fasttrack-01	to put on a fast track	pblr:fasttrack-01.thing-fasttracked		
pbrs:fat-03	havnig an abundance of fat; full	pblr:fat-03.the-fat		
pbrs:fat-03	havnig an abundance of fat; full	pblr:fat-03.fat-one		
pbrs:fatal-01	causing death	pblr:fatal-01.causer-of-death		
pbrs:fatal-01	causing death	pblr:fatal-01.dying-entity		
pbrs:fatality-02		pblr:fatality-02.causer-of-death		
pbrs:fatality-02		pblr:fatality-02.dead-entity		
pbrs:fate-01	assign to a specific purpose	pblr:fate-01.purpose		va:0130f
pbrs:fate-01	assign to a specific purpose	pblr:fate-01.entity-destined		va:0130f
pbrs:father-01	father children	pblr:father-01.child		
pbrs:father-01	father children	pblr:father-01.father		
pbrs:fathom-01	understand completely	pblr:fathom-01.understood		va:0093f
pbrs:fathom-01	understand completely	pblr:fathom-01.understander		va:0093f
pbrs:fatigue-01	cause to become used up, tired	pblr:fatigue-01.causer-of-tiredness		
pbrs:fatigue-01	cause to become used up, tired	pblr:fatigue-01.thing-becoming-exhausted		
pbrs:fatten-01	make fatter	pblr:fatten-01.thing-getting-fatter		va:0430f
pbrs:fatten-01	make fatter	pblr:fatten-01.causal-agent		va:0430f
pbrs:fatten-up-02	fatten to a fully fat state	pblr:fatten-up-02.hansel-and-gretel		
pbrs:fatten-up-02	fatten to a fully fat state	pblr:fatten-up-02.wicked-witch-in-a-candy-house		
pbrs:fault-01	assign culpability	pblr:fault-01.blamed-for-what		va:0272f
pbrs:fault-01	assign culpability	pblr:fault-01.entity-blamed		va:0272f
pbrs:fault-01	assign culpability	pblr:fault-01.blamer		va:0272f
pbrs:fault-02	functioning improperly, flawed	pblr:fault-02.flawed-thing		
pbrs:fault-02	functioning improperly, flawed	pblr:fault-02.specific-aspect-of-arg1-that-is-flawed		
pbrs:favor-01	like or prefer one option, usually over another; be preferrable to another option	pblr:favor-01.instrument		va:0344f
pbrs:favor-01	like or prefer one option, usually over another; be preferrable to another option	pblr:favor-01.thing-preferred		va:0344f
pbrs:favor-01	like or prefer one option, usually over another; be preferrable to another option	pblr:favor-01.superset-of-things-arg1-is-favored-amongst		va:0344f
pbrs:favor-01	like or prefer one option, usually over another; be preferrable to another option	pblr:favor-01.liker		va:0344f
pbrs:favor-01	like or prefer one option, usually over another; be preferrable to another option	pblr:favor-01.favored-over		va:0344f
pbrs:favor-02	using an injured body part less	pblr:favor-02.injured-body-part		
pbrs:favor-02	using an injured body part less	pblr:favor-02.entity-with-an-injured-body-part		
pbrs:favor-03	take after, resemble	pblr:favor-03.resembled		
pbrs:favor-03	take after, resemble	pblr:favor-03.resembler		
pbrs:favorable-04	good for, advantageous, pleasing	pblr:favorable-04.thing-that-is-good-or-advantageous		
pbrs:favorable-04	good for, advantageous, pleasing	pblr:favorable-04.beneficiary		
pbrs:fawn-01	seek favor with	pblr:fawn-01.seeker		
pbrs:fawn-01	seek favor with	pblr:fawn-01.with-whom		
pbrs:fax-01	to send by fax	pblr:fax-01.sender		va:0083f
pbrs:fax-01	to send by fax	pblr:fax-01.entity-sent		va:0083f
pbrs:fax-01	to send by fax	pblr:fax-01.sent-to		va:0083f
pbrs:faze-01	disconcert, disturb	pblr:faze-01.fazed		
pbrs:faze-01	disconcert, disturb	pblr:faze-01.instrument		
pbrs:faze-01	disconcert, disturb	pblr:faze-01.cause		
pbrs:fear-01	fear, afraid	pblr:fear-01.afraid-for		va:0582f
pbrs:fear-01	fear, afraid	pblr:fear-01.afraid-of		va:0582f
pbrs:fear-01	fear, afraid	pblr:fear-01.scaredy-cat		va:0582f
pbrs:feasible-01	possible, executable	pblr:feasible-01.thing-that-is-feasible		
pbrs:feasible-01	possible, executable	pblr:feasible-01.whom-it-is-feasible-for		
pbrs:feast-01	eat (a lot) celebratorily	pblr:feast-01.eater		va:0051f
pbrs:feast-01	eat (a lot) celebratorily	pblr:feast-01.eaten		va:0051f
pbrs:feather-01	cover with feathers	pblr:feather-01.recipient-of-feathering		
pbrs:feather-01	cover with feathers	pblr:feather-01.causer-of-feathering		
pbrs:feature-01	bring into prominence	pblr:feature-01.thing-featured		va:0104f
pbrs:feature-01	bring into prominence	pblr:feature-01.cause-of-prominence		va:0104f
pbrs:feature-01	bring into prominence	pblr:feature-01.featured-in		va:0104f
pbrs:featureless-01		pblr:featureless-01.featureless-thing		
pbrs:febrile-01	having, causing or relating to a fever	pblr:febrile-01.entity-having-a-fever		
pbrs:febrile-01	having, causing or relating to a fever	pblr:febrile-01.temperature		
