pbframe	pbframelabel	pbrole	fnframe	vaframe
pbrs:1500-01	consisting of a quantity of 1500	pblr:1500-01.thing-that-is-1500		
pbrs:300-01	consisting of a quantity of 300	localrole.300-01.thing-that-is-300		
pbrs:aa-01	awake and alert	pblr:aa-01.awake-entity		
pbrs:aao-01	awake, alert and oriented (part of a neuro exam)	pblr:aao-01.awake		
pbrs:aao-01	awake, alert and oriented (part of a neuro exam)	pblr:aao-01.oriented-to		
pbrs:abandon-01	leave behind	pblr:abandon-01.abandoner		va:0255f
pbrs:abandon-01	leave behind	pblr:abandon-01.entity-left-behind		va:0255f
pbrs:abandon-01	leave behind	pblr:abandon-01.attribute-of-arg1		va:0255f
pbrs:abandon-02	exchange	pblr:abandon-02.preferred-item		va:0016f
pbrs:abandon-02	exchange	pblr:abandon-02.abandoner		va:0016f
pbrs:abandon-02	exchange	pblr:abandon-02.thing-abandoned		va:0016f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.entity-abandoning-something		va:0253f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.thing-abandoned		va:0253f
pbrs:abandon-03	surrender, give_over	pblr:abandon-03.benefactive		va:0253f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.causer-of-humbling		va:0414f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.entity-lowered		va:0414f
pbrs:abase-01	to lower in estimation, humble	pblr:abase-01.instrument		va:0414f
pbrs:abash-01	cause shame	pblr:abash-01.causer-of-shame		
pbrs:abash-01	cause shame	pblr:abash-01.abashed-entity		
pbrs:abash-01	cause shame	pblr:abash-01.instrument		
pbrs:abate-01	to decrease,  become less strong	pblr:abate-01.causer		va:0241f
pbrs:abate-01	to decrease,  become less strong	pblr:abate-01.entity-decreased		va:0241f
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.arg1-is-shortened-by-how-much		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.end-state-of-arg1		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.thing-becoming-shorter		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.causal-agent		
pbrs:abbreviate-01	make shorter, especially words	pblr:abbreviate-01.start-state-of-arg-1		
pbrs:abdicate-01	to relinquish (power or responsibility)	pblr:abdicate-01.responsibility		va:0253f
pbrs:abdicate-01	to relinquish (power or responsibility)	pblr:abdicate-01.abdicator		va:0253f
pbrs:abdominal-01	of the abdomen	pblr:abdominal-01.abdominal-entity		
pbrs:abduct-01	to carry someone off by force	pblr:abduct-01.person-kidnapped		va:0239f
pbrs:abduct-01	to carry someone off by force	pblr:abduct-01.agent		va:0239f
pbrs:abduct-02	move away from a central axis	pblr:abduct-02.thing-moved		
pbrs:abduct-02	move away from a central axis	pblr:abduct-02.mover		
pbrs:aberrate-01	diverge from what is expected	pblr:aberrate-01.thing-diverging		
pbrs:aberrate-01	diverge from what is expected	pblr:aberrate-01.the-norm		
pbrs:abet-01	aid	pblr:abet-01.thing-helped		va:0018f
pbrs:abet-01	aid	pblr:abet-01.agent-of-abetting		va:0018f
pbrs:abhor-01	despise	pblr:abhor-01.despiser		va:0592f
pbrs:abhor-01	despise	pblr:abhor-01.object-of-despisal		va:0592f
pbrs:abide-01	conform to	pblr:abide-01.conformer		va:0002f
pbrs:abide-01	conform to	pblr:abide-01.thing-conformed-to		va:0002f
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.object-undergoing-ablation		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.agent		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.material-of-body-ablated		
pbrs:ablate-01	surgical removal of a body part; controlled surgical removal	pblr:ablate-01.instrument		
pbrs:ablate-02	erode	pblr:ablate-02.cause-of-erosion		
pbrs:ablate-02	erode	pblr:ablate-02.entity-removed		
pbrs:ablate-02	erode	pblr:ablate-02.eroded-from		
pbrs:able-01	have an ability, skill, being able	pblr:able-01.entity-with-ability		va:0104f
pbrs:able-01	have an ability, skill, being able	pblr:able-01.ability-itself		va:0104f
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.entity-given-up		
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.person-giving-something-up		
pbrs:abnegate-01	to give up, renounce	pblr:abnegate-01.benefactive		
pbrs:abnormal-01	non-standard or atypical, abnormal	pblr:abnormal-01.atypical-thing		
pbrs:abolish-01	get rid of, make illegal, act of doing away with something	pblr:abolish-01.entity-getting-rid-of		va:0253f
pbrs:abolish-01	get rid of, make illegal, act of doing away with something	pblr:abolish-01.thing-abolished		va:0253f
pbrs:abominable-02	deplorable	pblr:abominable-02.entity-deeming-arg1-abominable		
pbrs:abominable-02	deplorable	pblr:abominable-02.snowman		
pbrs:abominate-01	revile	pblr:abominate-01.despiser		va:0592f
pbrs:abominate-01	revile	pblr:abominate-01.thing-despised		va:0592f
pbrs:abort-01	to terminate	pblr:abort-01.entity-aborted		va:0029f
pbrs:abort-01	to terminate	pblr:abort-01.causer		va:0029f
pbrs:abound-01	be plentiful	pblr:abound-01.thing-which-is-plentiful		va:0104f
pbrs:abound-01	be plentiful	pblr:abound-01.thing-which-has-arg1-in-great-supply		va:0104f
pbrs:about-01	located 'around', in the general vicinity	pblr:about-01.entity-who-is-around		
pbrs:aboutface-03	about-face, change your mind/stance completely	pblr:aboutface-03.regarding-what-issue		
pbrs:aboutface-03	about-face, change your mind/stance completely	pblr:aboutface-03.end-orientation		
pbrs:aboutface-03	about-face, change your mind/stance completely	pblr:aboutface-03.person-changing-mind		
pbrs:aboutface-03	about-face, change your mind/stance completely	pblr:aboutface-03.original-orientation		
pbrs:abrade-01	wear off or rub off	pblr:abrade-01.instrument		
pbrs:abrade-01	wear off or rub off	pblr:abrade-01.agent		
pbrs:abrade-01	wear off or rub off	pblr:abrade-01.thing-wearing		
pbrs:abridge-01	to cut short	pblr:abridge-01.causer		va:0241f
pbrs:abridge-01	to cut short	pblr:abridge-01.thing-abridged		va:0241f
pbrs:abrogate-01	block a biological process or function	pblr:abrogate-01.intentional-agent-of-abrogation		
pbrs:abrogate-01	block a biological process or function	pblr:abrogate-01.thing-abrogated		
pbrs:abrogate-01	block a biological process or function	pblr:abrogate-01.instrument		
pbrs:absent-01	cause to be absent, not being there, no longer present	pblr:absent-01.absent-from-what		va:0119f
pbrs:absent-01	cause to be absent, not being there, no longer present	pblr:absent-01.absent-entity		va:0119f
pbrs:absent-01	cause to be absent, not being there, no longer present	pblr:absent-01.causer		va:0119f
pbrs:absolute-01	all encompassing, without exception	pblr:absolute-01.absolute-thing		
pbrs:absolve-01	remove guilt	pblr:absolve-01.absolver		va:0426f
pbrs:absolve-01	remove guilt	pblr:absolve-01.guilt		va:0426f
pbrs:absolve-01	remove guilt	pblr:absolve-01.guilty-party		va:0426f
pbrs:absorb-01	suck up	pblr:absorb-01.source-of-liquid		va:0004f
pbrs:absorb-01	suck up	pblr:absorb-01.sponge		va:0004f
pbrs:absorb-01	suck up	pblr:absorb-01.absorbed		va:0004f
pbrs:absorb-01	suck up	pblr:absorb-01.absorber		va:0004f
pbrs:abstain-01	to refrain	pblr:abstain-01.entity-abstaining		va:0260f
pbrs:abstain-01	to refrain	pblr:abstain-01.abstaining-from		va:0260f
pbrs:abstract-01	to draw or take away	pblr:abstract-01.thing-being-abstracted		
pbrs:abstract-01	to draw or take away	pblr:abstract-01.abstracted-from		
pbrs:abstract-01	to draw or take away	pblr:abstract-01.entity-abstracting		
pbrs:absurd-01	foolish, ridiculous	pblr:absurd-01.thing-that-is-absurd		
pbrs:abundant-01	plentiful	pblr:abundant-01.plentiful-commodity		
pbrs:abundant-01	plentiful	pblr:abundant-01.location-with-plenty-of-arg1		
pbrs:abuse-01	mistreat a person or animal, often repeatedly, with violence or with cruelty	pblr:abuse-01.abuser		va:0009f
pbrs:abuse-01	mistreat a person or animal, often repeatedly, with violence or with cruelty	pblr:abuse-01.entity-abused		va:0009f
pbrs:abuse-02	use (something) to bad effect or for a bad purpose; misuse	pblr:abuse-02.user		
pbrs:abuse-02	use (something) to bad effect or for a bad purpose; misuse	pblr:abuse-02.thing-misused		
pbrs:abuse-03	use offending language	pblr:abuse-03.entity-insulted		
pbrs:abuse-03	use offending language	pblr:abuse-03.abuser		
pbrs:abuse-03	use offending language	pblr:abuse-03.explicit-mention-of-utterance-or-insult		
pbrs:abut-01	be one the edge of	pblr:abut-01.abutter		va:0418f
pbrs:abut-01	be one the edge of	pblr:abut-01.abutted		va:0418f
pbrs:abysmal-01	generally terrible, in the absolute lowest ranges	pblr:abysmal-01.value		
pbrs:abysmal-01	generally terrible, in the absolute lowest ranges	pblr:abysmal-01.generally-terrible-entity		
pbrs:abysmal-02	be extremely unskilled at	pblr:abysmal-02.non-skill		
pbrs:abysmal-02	be extremely unskilled at	pblr:abysmal-02.unskilled-entity		
pbrs:accede-01	agree, adhere	pblr:accede-01.entity-acceded-to		va:0025f
pbrs:accede-01	agree, adhere	pblr:accede-01.acceder		va:0025f
pbrs:accelerate-01	make be faster, the act of speeding up	pblr:accelerate-01.ext		va:0500f
pbrs:accelerate-01	make be faster, the act of speeding up	pblr:accelerate-01.start-point		va:0500f
pbrs:accelerate-01	make be faster, the act of speeding up	pblr:accelerate-01.thing-accelerating		va:0500f
pbrs:accelerate-01	make be faster, the act of speeding up	pblr:accelerate-01.end-point		va:0500f
pbrs:accelerate-01	make be faster, the act of speeding up	pblr:accelerate-01.agent		va:0500f
pbrs:accent-01	to bring out certain features	pblr:accent-01.decorations		va:0312f
pbrs:accent-01	to bring out certain features	pblr:accent-01.decorator		va:0312f
pbrs:accent-01	to bring out certain features	pblr:accent-01.thing-decorated		va:0312f
pbrs:accentuate-01	mark or emphasize	pblr:accentuate-01.thing-accentuated		va:0312f
pbrs:accentuate-01	mark or emphasize	pblr:accentuate-01.instrument		va:0312f
pbrs:accentuate-01	mark or emphasize	pblr:accentuate-01.agent		va:0312f
pbrs:accept-01	take willingly	pblr:accept-01.attribute		va:0025f
pbrs:accept-01	take willingly	pblr:accept-01.acceptor		va:0025f
pbrs:accept-01	take willingly	pblr:accept-01.thing-accepted		va:0025f
pbrs:accept-01	take willingly	pblr:accept-01.accepted-from		va:0025f
pbrs:acceptable-02	worthy of accepting	pblr:acceptable-02.acceptor		
pbrs:acceptable-02	worthy of accepting	pblr:acceptable-02.attribute		
pbrs:acceptable-02	worthy of accepting	pblr:acceptable-02.thing-accepted		
pbrs:acceptable-02	worthy of accepting	pblr:acceptable-02.accepted-from		
pbrs:access-01	access, gain entry	pblr:access-01.accessor		va:0506f
pbrs:access-01	access, gain entry	pblr:access-01.thing-accessed		va:0506f
pbrs:accessible-02	able to be reached, attained	pblr:accessible-02.accessor		
pbrs:accessible-02	able to be reached, attained	pblr:accessible-02.thing-accessed		
pbrs:accession-01	mathematics, mixing, add something to something else, increase	pblr:accession-01.original		
pbrs:accession-01	mathematics, mixing, add something to something else, increase	pblr:accession-01.agent		
pbrs:accession-01	mathematics, mixing, add something to something else, increase	pblr:accession-01.supplement		
pbrs:accessorize-01	furnish with accessories	pblr:accessorize-01.entity-furnished		va:0496f
pbrs:accessorize-01	furnish with accessories	pblr:accessorize-01.furnished-with-what		va:0496f
pbrs:accessorize-01	furnish with accessories	pblr:accessorize-01.agent		va:0496f
pbrs:accident-01	screw-up, unplanned event that may or may not cause damage	pblr:accident-01.accidental-action		
pbrs:accident-01	screw-up, unplanned event that may or may not cause damage	pblr:accident-01.causer-of-accident		
pbrs:accident-01	screw-up, unplanned event that may or may not cause damage	pblr:accident-01.type-of-accident		
pbrs:acclaim-01	approve of loudly	pblr:acclaim-01.cause		va:0101f
pbrs:acclaim-01	approve of loudly	pblr:acclaim-01.acclaimed		va:0101f
pbrs:acclaim-01	approve of loudly	pblr:acclaim-01.acclaimer		va:0101f
pbrs:acclimate-01	(cause to) become used to	pblr:acclimate-01.agent		
pbrs:acclimate-01	(cause to) become used to	pblr:acclimate-01.entity-becoming-accustomed		
pbrs:acclimate-01	(cause to) become used to	pblr:acclimate-01.to-what		
pbrs:acclimatize-01	(cause to) become used to	pblr:acclimatize-01.agent		
pbrs:acclimatize-01	(cause to) become used to	pblr:acclimatize-01.entity-becoming-accustomed		
pbrs:acclimatize-01	(cause to) become used to	pblr:acclimatize-01.to-what		
pbrs:accommodate-01	allow, be helpful	pblr:accommodate-01.accommodater		va:0496f
pbrs:accommodate-01	allow, be helpful	pblr:accommodate-01.thing-accommodated		va:0496f
pbrs:accompany-01	go along with	pblr:accompany-01.subject-accompanier		va:0264f
pbrs:accompany-01	go along with	pblr:accompany-01.end-point		va:0264f
pbrs:accompany-01	go along with	pblr:accompany-01.object-accompanied		va:0264f
pbrs:accompany-01	go along with	pblr:accompany-01.start-point		va:0264f
pbrs:accomplish-01	do, pull off	pblr:accomplish-01.doer		va:0015f
pbrs:accomplish-01	do, pull off	pblr:accomplish-01.deed		va:0015f
pbrs:accord-01	to give	pblr:accord-01.gift		va:0189f
pbrs:accord-01	to give	pblr:accord-01.given-to		va:0189f
pbrs:accord-01	to give	pblr:accord-01.giver		va:0189f
pbrs:accord-02	follow a procedure; be in line with expectations or other facts	pblr:accord-02.action-done		
pbrs:accord-02	follow a procedure; be in line with expectations or other facts	pblr:accord-02.regulations		
pbrs:accord-02	follow a procedure; be in line with expectations or other facts	pblr:accord-02.follower-of-procedure		
pbrs:accord-03	create or agree to a pact	pblr:accord-03.second-party-in-agreement		
pbrs:accord-03	create or agree to a pact	pblr:accord-03.first-party-in-agreement		
pbrs:accord-03	create or agree to a pact	pblr:accord-03.subject-of-promise		
pbrs:account-01	deal with, explain, give/tell report or explanation	pblr:account-01.instrumental		va:0157f
pbrs:account-01	deal with, explain, give/tell report or explanation	pblr:account-01.thing-accounted-for		va:0157f
pbrs:account-01	deal with, explain, give/tell report or explanation	pblr:account-01.accounter		va:0157f
pbrs:accountable-02	accountable	pblr:accountable-02.role-or-crime		
pbrs:accountable-02	accountable	pblr:accountable-02.perpetrator		
pbrs:accountable-02	accountable	pblr:accountable-02.judge		
pbrs:accounting-03	managing finance	pblr:accounting-03.accountant		
pbrs:accounting-03	managing finance	pblr:accounting-03.money		
pbrs:accounting-03	managing finance	pblr:accounting-03.account-owner		
pbrs:accredit-01	give credentials	pblr:accredit-01.entity-credited		va:0496f
pbrs:accredit-01	give credentials	pblr:accredit-01.attribute		va:0496f
pbrs:accredit-01	give credentials	pblr:accredit-01.entity-furnishing-credentials		va:0496f
pbrs:accrete-01	accumulate, gain	pblr:accrete-01.accreting-entity		va:0430f
pbrs:accrete-01	accumulate, gain	pblr:accrete-01.stuff-gained		va:0430f
pbrs:accrue-01	accumulate, gather	pblr:accrue-01.agent		va:0430f
pbrs:accrue-01	accumulate, gather	pblr:accrue-01.thing-gathered		va:0430f
pbrs:accumulate-01	amass	pblr:accumulate-01.thing-accumulated		va:0396f
pbrs:accumulate-01	amass	pblr:accumulate-01.entity-accumulating-something		va:0396f
pbrs:accumulate-01	amass	pblr:accumulate-01.price		va:0396f
pbrs:accurate-01	precise	pblr:accurate-01.agent		
pbrs:accurate-01	precise	pblr:accurate-01.thing-that-is-exact		
pbrs:accurse-01	to imprecate misery or evil upon	pblr:accurse-01.speaker		
pbrs:accurse-01	to imprecate misery or evil upon	pblr:accurse-01.misery-or-evil		
pbrs:accurse-01	to imprecate misery or evil upon	pblr:accurse-01.person-or-thing-accursed		
pbrs:accuse-01	accuse of a crime	pblr:accuse-01.accused		va:0272f
pbrs:accuse-01	accuse of a crime	pblr:accuse-01.accuser		va:0272f
pbrs:accuse-01	accuse of a crime	pblr:accuse-01.crime		va:0272f
pbrs:accustom-01	make used to	pblr:accustom-01.cause-or-agent		va:0582f
pbrs:accustom-01	make used to	pblr:accustom-01.thing-getting-used-to		va:0582f
pbrs:accustom-01	make used to	pblr:accustom-01.thing-getting-used-to-something		va:0582f
pbrs:ace-01	do perfectly	pblr:ace-01.test		
pbrs:ace-01	do perfectly	pblr:ace-01.acer		
pbrs:acetify-01	(cause to) become acid	pblr:acetify-01.entity-made-into-silica		
pbrs:acetify-01	(cause to) become acid	pblr:acetify-01.instrument-or-manner-if-separate-from-arg-0		
pbrs:acetify-01	(cause to) become acid	pblr:acetify-01.cause-of-transformation		
pbrs:acetylate-01	introduce an acetyl group into a compound	pblr:acetylate-01.thing-acetylated		
pbrs:acetylate-01	introduce an acetyl group into a compound	pblr:acetylate-01.instrument		
pbrs:acetylate-01	introduce an acetyl group into a compound	pblr:acetylate-01.agent-of-acetylation		
pbrs:acetylate-01	introduce an acetyl group into a compound	pblr:acetylate-01.product-of-acetylation		
pbrs:ache-01	to suffer a dull pain	pblr:ache-01.body-part-aching		va:0431f
pbrs:ache-02		pblr:ache-02.wanted		
pbrs:ache-02		pblr:ache-02.wanter		
pbrs:achieve-01	achieve	pblr:achieve-01.thing-achieved		va:0015f
pbrs:achieve-01	achieve	pblr:achieve-01.achiever		va:0015f
pbrs:acidify-01	make acidic	pblr:acidify-01.causer-of-acidity		va:0248f
pbrs:acidify-01	make acidic	pblr:acidify-01.thing-now-acidic		va:0248f
pbrs:acknowledge-01	admit	pblr:acknowledge-01.secondary-predication		va:0316f
pbrs:acknowledge-01	admit	pblr:acknowledge-01.admitter		va:0316f
pbrs:acknowledge-01	admit	pblr:acknowledge-01.hearer		va:0316f
pbrs:acknowledge-01	admit	pblr:acknowledge-01.proposition		va:0316f
pbrs:acquaint-01	know informally	pblr:acquaint-01.rare-agent		va:0317f
pbrs:acquaint-01	know informally	pblr:acquaint-01.acquaintance		va:0317f
pbrs:acquaint-01	know informally	pblr:acquaint-01.knower		va:0317f
pbrs:acquiesce-01	comply passively	pblr:acquiesce-01.thing-complied-to		va:0025f
pbrs:acquiesce-01	comply passively	pblr:acquiesce-01.acquiescer		va:0025f
pbrs:acquire-01	get, acquire	pblr:acquire-01.seller		va:0290f
pbrs:acquire-01	get, acquire	pblr:acquire-01.agent		va:0290f
pbrs:acquire-01	get, acquire	pblr:acquire-01.price-paid		va:0290f
pbrs:acquire-01	get, acquire	pblr:acquire-01.benefactive		va:0290f
pbrs:acquire-01	get, acquire	pblr:acquire-01.thing-acquired		va:0290f
pbrs:acquit-01	relieve of guilt	pblr:acquit-01.explicit-mention-of-guilt		va:0021f
pbrs:acquit-01	relieve of guilt	pblr:acquit-01.guilty-party		va:0021f
pbrs:acquit-01	relieve of guilt	pblr:acquit-01.remover-of-guilt		va:0021f
pbrs:act-01	play a role; behave	pblr:act-01.player		va:0017f
pbrs:act-01	play a role; behave	pblr:act-01.role		va:0017f
pbrs:act-02	do something, perform an action	pblr:act-02.grounds-for-action		va:0147f
pbrs:act-02	do something, perform an action	pblr:act-02.actor		va:0147f
pbrs:act-05	thing done	pblr:act-05.doer		
pbrs:act-05	thing done	pblr:act-05.type-of-act		
pbrs:act-05	thing done	pblr:act-05.thing-done		
pbrs:act-out-03	perform a role	pblr:act-out-03.role		
pbrs:act-out-03	perform a role	pblr:act-out-03.actor		
pbrs:act-up-04	cause trouble	pblr:act-up-04.trouble-maker		
pbrs:activate-01	make active	pblr:activate-01.thing-now-active		va:0183f
pbrs:activate-01	make active	pblr:activate-01.activator		va:0183f
pbrs:active-02		pblr:active-02.active-entity		
pbrs:active-02		pblr:active-02.activity-engaged-in		
pbrs:activity-06	participating in, live, in use	pblr:activity-06.activity-engaged-in		
pbrs:activity-06	participating in, live, in use	pblr:activity-06.active-entity		
pbrs:actual-02	really real	pblr:actual-02.actual-thing		
pbrs:actual-02	really real	pblr:actual-02.what-arg1-is-an-actual-instantiation-of		
pbrs:actualize-01	make real or more real	pblr:actualize-01.thing-actualized		va:0382f
pbrs:actualize-01	make real or more real	pblr:actualize-01.agent		va:0382f
pbrs:actuate-01	put into action or motion	pblr:actuate-01.entity-set-into-action-or-motion		
pbrs:actuate-01	put into action or motion	pblr:actuate-01.agent-causing-of-actuation		
pbrs:acute-01	severe	pblr:acute-01.acute-illness		
pbrs:acute-01	severe	pblr:acute-01.patient		
pbrs:acyanotic-01	not characterized by turning blue	pblr:acyanotic-01.thing-not-characterized-by-blueness		
pbrs:adamant-01	unyieldingly insistent	pblr:adamant-01.entity-who-insists		
pbrs:adamant-01	unyieldingly insistent	pblr:adamant-01.insisted-upon		
pbrs:adapt-01	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	pblr:adapt-01.adapted-to		va:0091f
pbrs:adapt-01	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	pblr:adapt-01.adapted-from		va:0091f
pbrs:adapt-01	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	pblr:adapt-01.thing-adapted		va:0091f
pbrs:adapt-01	make (more) suitable, becoming or making more accustomed or suitable, cause to fit	pblr:adapt-01.agent		va:0091f
pbrs:adat-01	advance diet as tolerated	pblr:adat-01.doctor		
pbrs:add-01	say	pblr:add-01.speaker		va:0009f
pbrs:add-01	say	pblr:add-01.utterance		va:0009f
pbrs:add-02	mathematics, mixing, add something to something else, increase	pblr:add-02.adder		va:0366f
pbrs:add-02	mathematics, mixing, add something to something else, increase	pblr:add-02.thing-being-added-to		va:0366f
pbrs:add-02	mathematics, mixing, add something to something else, increase	pblr:add-02.resulting-sum		va:0366f
pbrs:add-02	mathematics, mixing, add something to something else, increase	pblr:add-02.thing-being-added		va:0366f
pbrs:add-03	achieve or gain	pblr:add-03.logical-subject		va:0366f
pbrs:add-03	achieve or gain	pblr:add-03.amount-risen		va:0366f
pbrs:add-03	achieve or gain	pblr:add-03.end-point		va:0366f
pbrs:add-03	achieve or gain	pblr:add-03.medium		va:0366f
pbrs:add-on-05	add to existing mass	pblr:add-on-05.thing-added		
pbrs:add-on-05	add to existing mass	pblr:add-on-05.agent-adding-on		
pbrs:add-on-05	add to existing mass	pblr:add-on-05.added-to-what		
pbrs:add-up-04	result in	pblr:add-up-04.agent-adding-items-up		
pbrs:add-up-04	result in	pblr:add-up-04.things-added		
pbrs:add-up-04	result in	pblr:add-up-04.result		
pbrs:addend-01	add an addendum to	pblr:addend-01.causer-of-addition		
pbrs:addend-01	add an addendum to	pblr:addend-01.thing-changed		
pbrs:addict-01	cause a dependency, as to a drug	pblr:addict-01.drug		va:0619f
pbrs:addict-01	cause a dependency, as to a drug	pblr:addict-01.outside-causer-of-addiction		va:0619f
pbrs:addict-01	cause a dependency, as to a drug	pblr:addict-01.addicted-entity		va:0619f
pbrs:addictive-02	causing addiction	pblr:addictive-02.addictive-to-whom		
pbrs:addictive-02	causing addiction	pblr:addictive-02.addictive-substance		
pbrs:addle-01	(cause to) be confused	pblr:addle-01.agentive-cause-of-confusion		
pbrs:addle-01	(cause to) be confused	pblr:addle-01.entity-experiencing-confusion		
pbrs:addle-01	(cause to) be confused	pblr:addle-01.confused-about-or-confused-with-what		
pbrs:address-01	put an address on, or speak to	pblr:address-01.addresser		va:0009f
pbrs:address-01	put an address on, or speak to	pblr:address-01.item-being-addressed		va:0009f
pbrs:address-01	put an address on, or speak to	pblr:address-01.hearer		va:0009f
pbrs:address-01	put an address on, or speak to	pblr:address-01.address-as		va:0009f
pbrs:address-02	deal with	pblr:address-02.agent		va:0343f
pbrs:address-02	deal with	pblr:address-02.answer		va:0343f
pbrs:address-02	deal with	pblr:address-02.dealing-with-what		va:0343f
pbrs:address-03	answer, pay attention to	pblr:address-03.hearer		
pbrs:address-03	answer, pay attention to	pblr:address-03.talker		
pbrs:address-03	answer, pay attention to	pblr:address-03.subject		
pbrs:adenoidectomy-01		pblr:adenoidectomy-01.removed-from		
pbrs:adenoidectomy-01		pblr:adenoidectomy-01.removed		
pbrs:adenoidectomy-01		pblr:adenoidectomy-01.surgeon		
pbrs:adept-01	highly skilled	pblr:adept-01.skill		
pbrs:adept-01	highly skilled	pblr:adept-01.skilled-entity		
pbrs:adequate-01	enough, sufficing	pblr:adequate-01.entity-that-is-enough		
pbrs:adequate-01	enough, sufficing	pblr:adequate-01.enough-for-what		
pbrs:adhere-01	stick (to)	pblr:adhere-01.theme-of-adhesion		va:0419f
pbrs:adhere-01	stick (to)	pblr:adhere-01.agent-of-adhesion		va:0419f
pbrs:adhere-01	stick (to)	pblr:adhere-01.thing-stuck-to		va:0419f
pbrs:adhere-02	follow (policy, etc)	pblr:adhere-02.follower		va:0022f
pbrs:adhere-02	follow (policy, etc)	pblr:adhere-02.policy		va:0022f
pbrs:adipose-01	relating to fat tissue	pblr:adipose-01.adipose-entity		
pbrs:adjacent-01	neighbor, be side by side	pblr:adjacent-01.axis		
pbrs:adjacent-01	neighbor, be side by side	pblr:adjacent-01.second-neighboring-entity		
pbrs:adjacent-01	neighbor, be side by side	pblr:adjacent-01.first-neighboring-enity		
pbrs:adjoin-01	be immediately next to	pblr:adjoin-01.second-thing		
pbrs:adjoin-01	be immediately next to	pblr:adjoin-01.thing		
pbrs:adjourn-01	(bring to a) close	pblr:adjourn-01.thing-closed		va:0429f
pbrs:adjourn-01	(bring to a) close	pblr:adjourn-01.closer		va:0429f
pbrs:adjourn-02	go from one location to another	pblr:adjourn-02.destination		
pbrs:adjourn-02	go from one location to another	pblr:adjourn-02.entity-in-motion		
pbrs:adjudicate-01	to settle conflicts	pblr:adjudicate-01.adjudicator		
pbrs:adjudicate-01	to settle conflicts	pblr:adjudicate-01.decision-or-conflict		
pbrs:adjunct-01	being joined in a subordinate manner, acting as a subordinate associate	pblr:adjunct-01.superordinate-entity		
pbrs:adjunct-01	being joined in a subordinate manner, acting as a subordinate associate	pblr:adjunct-01.subordinate-entity		
pbrs:adjunct-01	being joined in a subordinate manner, acting as a subordinate associate	pblr:adjunct-01.domain		
pbrs:adjust-01	change (slightly)	pblr:adjust-01.thing-changing		va:0091f
pbrs:adjust-01	change (slightly)	pblr:adjust-01.adjusted-to		va:0091f
pbrs:adjust-01	change (slightly)	pblr:adjust-01.purpose		va:0091f
pbrs:adjust-01	change (slightly)	pblr:adjust-01.start-state		va:0091f
pbrs:adjust-01	change (slightly)	pblr:adjust-01.causer-of-transformation		va:0091f
pbrs:administer-01	to manage, distribute, or apply	pblr:administer-01.entity-administered		va:0189f
pbrs:administer-01	to manage, distribute, or apply	pblr:administer-01.administrator		va:0189f
pbrs:administer-01	to manage, distribute, or apply	pblr:administer-01.administered-to		va:0189f
pbrs:administrate-01	manage	pblr:administrate-01.theme		va:0125f
pbrs:administrate-01	manage	pblr:administrate-01.agent		va:0125f
pbrs:admirable-02	worthy of admiring	pblr:admirable-02.target-of-admiration		
pbrs:admirable-02	worthy of admiring	pblr:admirable-02.admirer		
pbrs:admire-01	admire	pblr:admire-01.admirer		va:0344f
pbrs:admire-01	admire	pblr:admire-01.admired		va:0344f
pbrs:admit-01	acknowledge truth	pblr:admit-01.truth		va:0316f
pbrs:admit-01	acknowledge truth	pblr:admit-01.admitter		va:0316f
pbrs:admit-01	acknowledge truth	pblr:admit-01.hearer		va:0316f
pbrs:admit-02	allow to enter	pblr:admit-02.allower		va:0011f
pbrs:admit-02	allow to enter	pblr:admit-02.enterer		va:0011f
pbrs:admit-02	allow to enter	pblr:admit-02.place-entered		va:0011f
pbrs:admix-01	to mingle or add to something else	pblr:admix-01.ingredient-one		
pbrs:admix-01	to mingle or add to something else	pblr:admix-01.end-product		
pbrs:admix-01	to mingle or add to something else	pblr:admix-01.agent		
pbrs:admix-01	to mingle or add to something else	pblr:admix-01.ingredient-two		
pbrs:admonish-01	persuade warningly	pblr:admonish-01.persuaded-agent		va:0318f
pbrs:admonish-01	persuade warningly	pblr:admonish-01.persuader		va:0318f
pbrs:admonish-01	persuade warningly	pblr:admonish-01.persuaded-action		va:0318f
pbrs:admonish-02	chastise	pblr:admonish-02.wrongdoing		va:0035f
