pbframe	pbframelabel	pbrole	fnframe	vaframe
pbdata:1500-01	consisting of a quantity of 1500	pbdata:1500-01__1
pbdata:300-01	consisting of a quantity of 300	pbdata:300-01__1
pbdata:aa-01	awake and alert	pbdata:aa-01__0
pbdata:aao-01	awake, alert and oriented (part of a neuro exam)	pbdata:aao-01__1
pbdata:aao-01	awake, alert and oriented (part of a neuro exam)	pbdata:aao-01__0
pbdata:abandon-01	leave behind	pbdata:abandon-01__2	fnframe:Quitting_a_place	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__2	fnframe:Departing	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__2	fnframe:Abandonment	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__1	fnframe:Quitting_a_place	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__1	fnframe:Departing	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__1	fnframe:Abandonment	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__0	fnframe:Quitting_a_place	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__0	fnframe:Departing	va:0255f
pbdata:abandon-01	leave behind	pbdata:abandon-01__0	fnframe:Abandonment	va:0255f
pbdata:abandon-02	exchange	pbdata:abandon-02__2	va:0016f
pbdata:abandon-02	exchange	pbdata:abandon-02__1	va:0016f
pbdata:abandon-02	exchange	pbdata:abandon-02__0	va:0016f
pbdata:abandon-03	surrender, give_over	pbdata:abandon-03__2	va:0253f
pbdata:abandon-03	surrender, give_over	pbdata:abandon-03__1	va:0253f
pbdata:abandon-03	surrender, give_over	pbdata:abandon-03__0	va:0253f
pbdata:abase-01	to lower in estimation, humble	pbdata:abase-01__2	va:0414f
pbdata:abase-01	to lower in estimation, humble	pbdata:abase-01__1	va:0414f
pbdata:abase-01	to lower in estimation, humble	pbdata:abase-01__0	va:0414f
pbdata:abash-01	cause shame	pbdata:abash-01__2
pbdata:abash-01	cause shame	pbdata:abash-01__1
pbdata:abash-01	cause shame	pbdata:abash-01__0
pbdata:abate-01	to decrease,  become less strong	pbdata:abate-01__1	va:0241f
pbdata:abate-01	to decrease,  become less strong	pbdata:abate-01__0	va:0241f
pbdata:abbreviate-01	make shorter, especially words	pbdata:abbreviate-01__4
pbdata:abbreviate-01	make shorter, especially words	pbdata:abbreviate-01__3
pbdata:abbreviate-01	make shorter, especially words	pbdata:abbreviate-01__2
pbdata:abbreviate-01	make shorter, especially words	pbdata:abbreviate-01__1
pbdata:abbreviate-01	make shorter, especially words	pbdata:abbreviate-01__0
pbdata:abdicate-01	to relinquish (power or responsibility)	pbdata:abdicate-01__1	va:0253f
pbdata:abdicate-01	to relinquish (power or responsibility)	pbdata:abdicate-01__0	va:0253f
pbdata:abdominal-01	of the abdomen	pbdata:abdominal-01__1
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__1	fnframe:Theft	va:0239f
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__1	fnframe:Removing	va:0239f
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__1	fnframe:Kidnapping	va:0239f
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__0	fnframe:Theft	va:0239f
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__0	fnframe:Removing	va:0239f
pbdata:abduct-01	to carry someone off by force	pbdata:abduct-01__0	fnframe:Kidnapping	va:0239f
pbdata:abduct-02	move away from a central axis	pbdata:abduct-02__1
pbdata:abduct-02	move away from a central axis	pbdata:abduct-02__0
pbdata:aberrate-01	diverge from what is expected	pbdata:aberrate-01__2
pbdata:aberrate-01	diverge from what is expected	pbdata:aberrate-01__1
pbdata:abet-01	aid	pbdata:abet-01__1	fnframe:Assistance	va:0018f
pbdata:abet-01	aid	pbdata:abet-01__0	fnframe:Assistance	va:0018f
pbdata:abhor-01	despise	pbdata:abhor-01__1	fnframe:Experiencer_subj	va:0592f
pbdata:abhor-01	despise	pbdata:abhor-01__0	fnframe:Experiencer_subj	va:0592f
pbdata:abide-01	conform to	pbdata:abide-01__1	fnframe:Compliance	va:0002f
pbdata:abide-01	conform to	pbdata:abide-01__0	fnframe:Compliance	va:0002f
pbdata:ablate-01	surgical removal of a body part; controlled surgical removal	pbdata:ablate-01__3
pbdata:ablate-01	surgical removal of a body part; controlled surgical removal	pbdata:ablate-01__2
pbdata:ablate-01	surgical removal of a body part; controlled surgical removal	pbdata:ablate-01__1
pbdata:ablate-01	surgical removal of a body part; controlled surgical removal	pbdata:ablate-01__0
pbdata:ablate-02	erode	pbdata:ablate-02__2
pbdata:ablate-02	erode	pbdata:ablate-02__1
pbdata:ablate-02	erode	pbdata:ablate-02__0
pbdata:able-01	have an ability, skill, being able	pbdata:able-01__2	fnframe:Capability	va:0104f
pbdata:able-01	have an ability, skill, being able	pbdata:able-01__1	fnframe:Capability	va:0104f
pbdata:abnegate-01	to give up, renounce	pbdata:abnegate-01__2
pbdata:abnegate-01	to give up, renounce	pbdata:abnegate-01__1
pbdata:abnegate-01	to give up, renounce	pbdata:abnegate-01__0
pbdata:abnormal-01	non-standard or atypical, abnormal	pbdata:abnormal-01__1
pbdata:abolish-01	get rid of, make illegal, act of doing away with something	pbdata:abolish-01__1	va:0253f
pbdata:abolish-01	get rid of, make illegal, act of doing away with something	pbdata:abolish-01__0	va:0253f
